PNL Durations: NeuronLayer: 0.97ms | WindowMeans: 0.16ms | WindowWeighting: 32.51ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.96ms | WindowMeans: 0.16ms | WindowWeighting: 30.94ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.90ms | WindowMeans: 0.17ms | WindowWeighting: 30.80ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.28ms | WindowMeans: 0.21ms | WindowWeighting: 30.59ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.95ms | WindowMeans: 0.15ms | WindowWeighting: 31.11ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.91ms | WindowMeans: 0.17ms | WindowWeighting: 31.16ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.89ms | WindowMeans: 0.17ms | WindowWeighting: 30.79ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.05ms | WindowMeans: 0.27ms | WindowWeighting: 30.34ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.33ms | WindowMeans: 0.22ms | WindowWeighting: 30.89ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.05ms | WindowMeans: 0.15ms | WindowWeighting: 30.62ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.98ms | WindowMeans: 0.14ms | WindowWeighting: 30.95ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.65ms | WindowMeans: 0.19ms | WindowWeighting: 66.14ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.16ms | WindowMeans: 0.27ms | WindowWeighting: 35.19ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.06ms | WindowMeans: 0.17ms | WindowWeighting: 33.75ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.21ms | WindowMeans: 0.17ms | WindowWeighting: 35.62ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.03ms | WindowMeans: 0.24ms | WindowWeighting: 34.20ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.02ms | WindowMeans: 0.21ms | WindowWeighting: 33.88ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.12ms | WindowMeans: 0.21ms | WindowWeighting: 33.04ms | CombineLayer: 0.09ms
PNL Durations: NeuronLayer: 1.09ms | WindowMeans: 0.21ms | WindowWeighting: 31.83ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.09ms | WindowMeans: 0.22ms | WindowWeighting: 31.12ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.90ms | WindowMeans: 0.16ms | WindowWeighting: 31.39ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.96ms | WindowMeans: 0.18ms | WindowWeighting: 31.06ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.31ms | WindowMeans: 0.16ms | WindowWeighting: 32.06ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.17ms | WindowMeans: 0.23ms | WindowWeighting: 35.87ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.04ms | WindowMeans: 0.25ms | WindowWeighting: 35.36ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.02ms | WindowMeans: 0.18ms | WindowWeighting: 33.79ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.18ms | WindowMeans: 0.28ms | WindowWeighting: 32.15ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.05ms | WindowMeans: 0.24ms | WindowWeighting: 34.57ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.40ms | WindowMeans: 0.24ms | WindowWeighting: 34.24ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.29ms | WindowMeans: 0.13ms | WindowWeighting: 31.86ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.17ms | WindowMeans: 0.21ms | WindowWeighting: 31.10ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.09ms | WindowMeans: 0.26ms | WindowWeighting: 42.37ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.52ms | WindowMeans: 0.23ms | WindowWeighting: 35.12ms | CombineLayer: 0.08ms
PNL Durations: NeuronLayer: 1.07ms | WindowMeans: 0.20ms | WindowWeighting: 34.59ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.11ms | WindowMeans: 0.24ms | WindowWeighting: 37.02ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.13ms | WindowMeans: 0.37ms | WindowWeighting: 36.01ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.08ms | WindowMeans: 0.16ms | WindowWeighting: 34.19ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.14ms | WindowMeans: 0.21ms | WindowWeighting: 34.76ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.99ms | WindowMeans: 0.21ms | WindowWeighting: 34.22ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.47ms | WindowMeans: 0.15ms | WindowWeighting: 40.16ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.06ms | WindowMeans: 0.15ms | WindowWeighting: 33.75ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.38ms | WindowMeans: 0.19ms | WindowWeighting: 31.07ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.90ms | WindowMeans: 0.14ms | WindowWeighting: 31.58ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.19ms | WindowMeans: 0.18ms | WindowWeighting: 37.08ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.99ms | WindowMeans: 0.20ms | WindowWeighting: 33.62ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.23ms | WindowMeans: 0.15ms | WindowWeighting: 36.67ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.05ms | WindowMeans: 0.20ms | WindowWeighting: 35.78ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 2.15ms | WindowMeans: 0.26ms | WindowWeighting: 45.80ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.91ms | WindowMeans: 0.17ms | WindowWeighting: 32.35ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.30ms | WindowMeans: 0.20ms | WindowWeighting: 31.21ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.99ms | WindowMeans: 0.17ms | WindowWeighting: 31.35ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.09ms | WindowMeans: 0.19ms | WindowWeighting: 30.87ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.00ms | WindowMeans: 0.18ms | WindowWeighting: 31.12ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.00ms | WindowMeans: 0.18ms | WindowWeighting: 30.80ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.94ms | WindowMeans: 0.16ms | WindowWeighting: 31.38ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.47ms | WindowMeans: 0.24ms | WindowWeighting: 30.83ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.94ms | WindowMeans: 0.16ms | WindowWeighting: 30.42ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.97ms | WindowMeans: 0.20ms | WindowWeighting: 30.85ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.96ms | WindowMeans: 0.18ms | WindowWeighting: 31.17ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.07ms | WindowMeans: 0.17ms | WindowWeighting: 32.20ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.05ms | WindowMeans: 0.16ms | WindowWeighting: 34.54ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.15ms | WindowMeans: 0.16ms | WindowWeighting: 31.60ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.42ms | WindowMeans: 0.18ms | WindowWeighting: 32.30ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 3.99ms | WindowMeans: 1.06ms | WindowWeighting: 242.37ms | CombineLayer: 0.09ms
PNL Durations: NeuronLayer: 1.32ms | WindowMeans: 0.19ms | WindowWeighting: 32.18ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.06ms | WindowMeans: 0.19ms | WindowWeighting: 31.72ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.97ms | WindowMeans: 0.17ms | WindowWeighting: 31.71ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.48ms | WindowMeans: 0.20ms | WindowWeighting: 33.08ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.17ms | WindowMeans: 0.16ms | WindowWeighting: 31.22ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.15ms | WindowMeans: 0.15ms | WindowWeighting: 32.06ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.08ms | WindowMeans: 0.15ms | WindowWeighting: 31.96ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.57ms | WindowMeans: 0.29ms | WindowWeighting: 32.04ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.05ms | WindowMeans: 0.15ms | WindowWeighting: 30.96ms | CombineLayer: 0.06ms
