inner step 4: forward: 34.29ms | predict: 2.17ms | loss: 0.73ms
inner step 4: forward: 39.77ms | predict: 3.74ms | loss: 0.75ms
inner step 4: forward: 34.98ms | predict: 3.45ms | loss: 0.33ms
inner step 4: forward: 34.29ms | predict: 3.65ms | loss: 0.74ms
inner step 4: forward: 35.30ms | predict: 2.12ms | loss: 0.37ms
inner step 4: forward: 35.58ms | predict: 3.67ms | loss: 0.77ms
inner step 4: forward: 34.37ms | predict: 3.73ms | loss: 0.70ms
inner step 4: forward: 33.97ms | predict: 3.62ms | loss: 0.72ms
inner step 4: forward: 33.94ms | predict: 2.80ms | loss: 0.30ms
inner step 4: forward: 34.39ms | predict: 3.91ms | loss: 0.89ms
inner step 4: forward: 35.10ms | predict: 3.99ms | loss: 0.80ms
inner step 4: forward: 35.28ms | predict: 3.95ms | loss: 0.80ms
inner step 4: forward: 33.58ms | predict: 2.80ms | loss: 0.31ms
inner step 4: forward: 38.53ms | predict: 2.82ms | loss: 0.38ms
inner step 4: forward: 34.50ms | predict: 3.99ms | loss: 0.82ms
inner step 4: forward: 33.64ms | predict: 3.65ms | loss: 0.75ms
inner step 4: forward: 34.01ms | predict: 4.15ms | loss: 0.84ms
inner step 4: forward: 34.50ms | predict: 3.79ms | loss: 0.69ms
inner step 4: forward: 34.20ms | predict: 3.67ms | loss: 0.77ms
inner step 4: forward: 39.23ms | predict: 3.81ms | loss: 0.74ms
inner step 4: forward: 34.30ms | predict: 3.73ms | loss: 0.72ms
inner step 4: forward: 33.90ms | predict: 4.14ms | loss: 0.81ms
inner step 4: forward: 34.62ms | predict: 3.69ms | loss: 0.76ms
inner step 4: forward: 37.76ms | predict: 2.57ms | loss: 0.44ms
inner step 4: forward: 39.35ms | predict: 1.90ms | loss: 0.38ms
inner step 4: forward: 34.01ms | predict: 3.47ms | loss: 0.35ms
inner step 4: forward: 34.15ms | predict: 3.93ms | loss: 0.71ms
inner step 4: forward: 34.73ms | predict: 2.46ms | loss: 0.33ms
inner step 4: forward: 37.48ms | predict: 2.08ms | loss: 0.80ms
