Durations: Step: 16477.14ms, Load: 66.56ms, Save: 64.38ms, Logits: 0.12ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16394.36ms, Save: 63.81ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16123.72ms, Save: 62.77ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16241.80ms, Save: 62.97ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16423.09ms, Save: 63.52ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16430.10ms, Save: 63.61ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16293.55ms, Save: 63.28ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17121.40ms, Save: 63.50ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17176.51ms, Save: 64.56ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17210.87ms, Save: 62.90ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17538.75ms, Save: 63.44ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18338.31ms, Save: 63.94ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17405.48ms, Save: 64.40ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17091.16ms, Save: 64.68ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16760.93ms, Save: 63.42ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18241.17ms, Save: 65.03ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17467.40ms, Save: 65.78ms, Logits: 0.12ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
